Protocol,Length
0.0,0.0023295944779982746
0.0,0.023037100949094044
0.0625,0.015012942191544434
0.0625,0.003106125970664367
0.0625,0.008628127696289904
0.0625,0.0008628127696289909
0.0625,0.0016393442622950824
0.0625,0.008455565142364108
0.0625,0.0018981880931837796
0.0625,0.00043140638481449587
0.0625,0.0016393442622950824
0.0625,0.0006039689387402937
0.125,0.009922346850733392
0.125,0.020103537532355477
0.1875,0.0003451251078515965
0.1875,0.0005176876617773944
0.25,0.0008628127696289909
0.25,0.0036238136324417596
0.0625,0.008628127696289904
0.0625,0.0008628127696289909
0.0625,0.0016393442622950824
0.0625,0.008455565142364108
0.0625,0.00043140638481449587
0.0625,0.0018981880931837796
0.0625,0.0016393442622950824
0.0625,0.0006039689387402937
0.0625,0.003106125970664367
0.1875,0.0008628127696289909
0.1875,0.0008628127696289909
0.0625,0.008541846419327006
0.0625,0.0008628127696289909
0.0625,0.0016393442622950824
0.0625,0.005953408110440035
0.0625,0.00043140638481449587
0.0625,0.0018981880931837796
0.0625,0.0016393442622950824
0.1875,0.0005176876617773944
0.1875,0.0005176876617773944
0.0625,0.0005176876617773944
0.3125,0.09534081104400345
0.3125,0.04874892148403796
0.1875,0.0008628127696289909
0.0625,0.0012942191544434859
0.0625,0.0006039689387402937
0.0,0.0023295944779982746
0.0,0.023037100949094044
0.0625,0.003106125970664367
0.3125,0.03882657463330458
0.3125,0.0038826574633304576
0.1875,0.0008628127696289909
0.3125,0.03856773080241588
0.3125,0.0038826574633304576
0.1875,0.0008628127696289909
0.375,0.003278688524590164
0.375,0.029163071613459875
0.1875,0.0008628127696289909
0.375,0.2369283865401208
0.375,0.12096635030198447
0.375,0.033304572907679034
0.375,0.003278688524590164
0.1875,0.0005176876617773944
0.1875,0.0005176876617773944
0.1875,0.0005176876617773944
0.1875,0.0005176876617773944
0.375,0.011302847282139775
0.1875,0.0008628127696289909
0.375,0.008024158757549613
0.375,0.128213977566868
0.375,0.12519413287316652
0.1875,0.0008628127696289909
0.1875,0.0005176876617773944
0.1875,0.0008628127696289909
0.375,0.029508196721311473
0.1875,0.0005176876617773944
0.0,0.004314063848144953
0.1875,0.0003451251078515965
0.1875,0.0005176876617773944
0.4375,0.026833477135461605
0.0625,0.003106125970664367
0.0625,0.008628127696289904
0.0625,0.0008628127696289909
0.0625,0.0016393442622950824
0.0625,0.008455565142364108
0.0625,0.00043140638481449587
0.0625,0.0018981880931837796
0.0625,0.0016393442622950824
0.0625,0.0006039689387402937
0.1875,0.0003451251078515965
0.1875,0.0005176876617773944
0.0625,0.008541846419327006
0.0625,0.0008628127696289909
0.0625,0.0016393442622950824
0.0625,0.008455565142364108
0.0625,0.0018981880931837796
0.0625,0.00043140638481449587
0.0625,0.0006039689387402937
0.0625,0.001553062985332183
0.0625,0.003106125970664367
0.0625,0.008628127696289904
0.0625,0.0008628127696289909
0.0625,0.0016393442622950824
0.0625,0.005953408110440035
0.0625,0.00043140638481449587
0.0625,0.0018981880931837796
0.0625,0.0016393442622950824
0.0625,0.0006039689387402937
0.3125,0.04012079378774806
0.3125,0.007333908541846419
0.3125,0.0725625539257981
0.3125,0.0027610008628127696
0.1875,0.0
0.1875,0.11855047454702329
0.3125,0.12812769628990509
0.3125,0.02424503882657463
0.1875,0.0003451251078515965
0.4375,0.013891285591026748
0.0625,0.015012942191544434
0.0625,0.003106125970664367
0.3125,0.003710094909404659
0.3125,0.0031924072476272646
0.1875,0.0008628127696289909
0.1875,0.0003451251078515965
0.1875,0.0005176876617773944
0.3125,0.006557377049180329
0.3125,0.017687661777394306
0.125,0.008024158757549613
0.1875,0.0005176876617773944
0.125,0.0091458153580673
0.125,0.008628127696289904
0.125,0.0091458153580673
0.0,0.0023295944779982746
0.0,0.023037100949094044
0.4375,0.013891285591026748
0.0625,0.003106125970664367
0.0625,0.008628127696289904
0.0625,0.0008628127696289909
0.0625,0.0016393442622950824
0.0625,0.008455565142364108
0.0625,0.00043140638481449587
0.0625,0.0018981880931837796
0.0625,0.0016393442622950824
0.0625,0.0006039689387402937
0.1875,0.0003451251078515965
0.1875,0.0
0.0625,0.008541846419327006
0.3125,0.09534081104400345
0.0625,0.0008628127696289909
0.0625,0.0016393442622950824
0.0625,0.06755823986194996
0.0625,0.008455565142364108
0.0625,0.0018981880931837796
0.0625,0.00043140638481449587
0.0625,0.0006039689387402937
0.0625,0.001553062985332183
0.3125,0.04874892148403796
0.1875,0.0008628127696289909
0.3125,0.004918032786885246
0.1875,0.0
0.4375,0.013891285591026748
0.0625,0.003106125970664367
0.3125,0.0025884383088869718
0.1875,0.0005176876617773944
0.1875,0.0003451251078515965
