"No.","Info","Time","Source","Destination","Protocol","Length"
"70273","Standard query 0x3647 A windows.msn.com","22.302482","10.10.10.9","9.9.9.9","DNS","75"
"70274","Standard query 0x7704 A uaslpedu-my.sharepoint.com","22.302482","10.10.10.116","9.9.9.9","DNS","86"
"70299","Standard query 0x2ac0 A 192499-ipv4v6.gr.global.aa-rt.sharepoint.com","22.304400","10.10.10.116","8.8.8.8","DNS","104"
"70301","Standard query 0x7704 A uaslpedu-my.sharepoint.com","22.305450","10.10.10.116","8.8.8.8","DNS","86"
"70303","Standard query 0xeb9f A uaslpedu.sharepoint.com","22.305450","10.10.10.116","8.8.8.8","DNS","83"
"70304","Standard query 0xeb9f A uaslpedu.sharepoint.com","22.305450","10.10.10.116","1.1.1.1","DNS","83"
"70328","Standard query response 0x2ac0 A 192499-ipv4v6.gr.global.aa-rt.sharepoint.com CNAME 192499-ipv4v6.farm.dprodmgd105.aa-rt.sharepoint.com A 52.104.79.41","22.308786","9.9.9.9","10.10.10.116","DNS","165"
"70353","Standard query response 0x3647 A windows.msn.com CNAME www-msn-com.a-0003.a-msedge.net CNAME a-0003.a-msedge.net A 204.79.197.203","22.314024","9.9.9.9","10.10.10.9","DNS","150"
"70355","Standard query 0x2ac0 A 192499-ipv4v6.gr.global.aa-rt.sharepoint.com","22.314024","10.10.10.116","1.1.1.1","DNS","104"
"70360","Standard query 0x7704 A uaslpedu-my.sharepoint.com","22.315177","10.10.10.116","1.1.1.1","DNS","86"
"70496","Standard query 0xa1df A exo.nel.measure.office.net","22.335738","10.10.10.9","9.9.9.9","DNS","86"
"70505","Standard query 0x4e3c HTTPS exo.nel.measure.office.net","22.337238","10.10.10.9","9.9.9.9","DNS","86"
"70526","Standard query 0xb6fd A edge.microsoft.com","22.341717","10.10.10.9","9.9.9.9","DNS","78"
"70527","Standard query 0x37de HTTPS edge.microsoft.com","22.341717","10.10.10.9","9.9.9.9","DNS","78"
"70529","Standard query 0x3647 A windows.msn.com","22.341717","10.10.10.9","8.8.8.8","DNS","75"
"70559","Standard query response 0x2ac0 A 192499-ipv4v6.gr.global.aa-rt.sharepoint.com CNAME 192499-ipv4v6.farm.dprodmgd105.aa-rt.sharepoint.com A 52.104.79.41","22.345197","8.8.8.8","10.10.10.116","DNS","165"
"70583","Standard query response 0xa1df A exo.nel.measure.office.net CNAME nel.measure.office.net.edgesuite.net CNAME a1894.dscb.akamai.net A 23.200.36.203 A 23.200.36.200","22.348980","9.9.9.9","10.10.10.9","DNS","197"
"70585","Standard query response 0x4e3c HTTPS exo.nel.measure.office.net CNAME nel.measure.office.net.edgesuite.net CNAME a1894.dscb.akamai.net SOA n0dscb.akamai.net","22.348980","9.9.9.9","10.10.10.9","DNS","229"
"70616","Standard query response 0x37de HTTPS edge.microsoft.com CNAME edge-microsoft-com.dual-a-0036.a-msedge.net SOA ns1.a-msedge.net","22.353815","9.9.9.9","10.10.10.9","DNS","182"
"70619","Standard query response 0xb6fd A edge.microsoft.com CNAME edge-microsoft-com.dual-a-0036.a-msedge.net CNAME dual-a-0036.a-msedge.net A 204.79.197.239 A 13.107.21.239","22.353815","9.9.9.9","10.10.10.9","DNS","181"
"70626","Standard query response 0x3647 A windows.msn.com CNAME www-msn-com.a-0003.a-msedge.net CNAME a-0003.a-msedge.net A 204.79.197.203","22.354869","8.8.8.8","10.10.10.9","DNS","150"
"70674","Standard query response 0x7704 A uaslpedu-my.sharepoint.com CNAME uaslpedu.sharepoint.com CNAME 5528-ipv4v6e.clump.dprodmgd105.aa-rt.sharepoint.com CNAME 192499-ipv4v6e.farm.dprodmgd105.aa-rt.sharepoint.com CNAME 192499-ipv4v6e.farm.dprodmgd105.sharepointonline.com.akadns.net CNAME 192499-ipv4v6.farm.dprodmgd105.aa-rt.sharepoint.com.dual-spo-0005.spo-msedge.net CNAME dual-spo-0005.spo-msedge.net A 13.107.136.10 A 13.107.138.10","22.379660","8.8.8.8","10.10.10.116","DNS","408"
"70676","Standard query response 0x2ac0 A 192499-ipv4v6.gr.global.aa-rt.sharepoint.com CNAME 192499-ipv4v6.farm.dprodmgd105.aa-rt.sharepoint.com A 52.104.79.41","22.381559","1.1.1.1","10.10.10.116","DNS","165"
"70678","Standard query response 0xeb9f A uaslpedu.sharepoint.com CNAME 5528-ipv4v6e.clump.dprodmgd105.aa-rt.sharepoint.com CNAME 192499-ipv4v6e.farm.dprodmgd105.aa-rt.sharepoint.com CNAME 192499-ipv4v6e.farm.dprodmgd105.sharepointonline.com.akadns.net CNAME 192499-ipv4v6.farm.dprodmgd105.aa-rt.sharepoint.com.dual-spo-0005.spo-msedge.net CNAME dual-spo-0005.spo-msedge.net A 13.107.136.10 A 13.107.138.10","22.387699","1.1.1.1","10.10.10.116","DNS","382"
"70679","Standard query response 0xeb9f A uaslpedu.sharepoint.com CNAME 5528-ipv4v6e.clump.dprodmgd105.aa-rt.sharepoint.com CNAME 192499-ipv4v6e.farm.dprodmgd105.aa-rt.sharepoint.com CNAME 192499-ipv4v6e.farm.dprodmgd105.sharepointonline.com.akadns.net CNAME 192499-ipv4v6.farm.dprodmgd105.aa-rt.sharepoint.com.dual-spo-0005.spo-msedge.net CNAME dual-spo-0005.spo-msedge.net A 13.107.136.10 A 13.107.138.10","22.387699","8.8.8.8","10.10.10.116","DNS","382"
"70699","Standard query response 0xeb9f A uaslpedu.sharepoint.com CNAME 5528-ipv4v6e.clump.dprodmgd105.aa-rt.sharepoint.com CNAME 192499-ipv4v6e.farm.dprodmgd105.aa-rt.sharepoint.com CNAME 192499-ipv4v6e.farm.dprodmgd105.sharepointonline.com.akadns.net CNAME 192499-ipv4v6.farm.dprodmgd105.aa-rt.sharepoint.com.dual-spo-0005.spo-msedge.net CNAME dual-spo-0005.spo-msedge.net A 13.107.136.10 A 13.107.138.10","22.407353","9.9.9.9","10.10.10.116","DNS","382"
"70700","Standard query response 0x7704 A uaslpedu-my.sharepoint.com CNAME uaslpedu.sharepoint.com CNAME 5528-ipv4v6e.clump.dprodmgd105.aa-rt.sharepoint.com CNAME 192499-ipv4v6e.farm.dprodmgd105.aa-rt.sharepoint.com CNAME 192499-ipv4v6e.farm.dprodmgd105.sharepointonline.com.akadns.net CNAME 192499-ipv4v6.farm.dprodmgd105.aa-rt.sharepoint.com.dual-spo-0005.spo-msedge.net CNAME dual-spo-0005.spo-msedge.net A 13.107.136.10 A 13.107.138.10","22.407353","1.1.1.1","10.10.10.116","DNS","411"
"70704","Standard query response 0x7704 A uaslpedu-my.sharepoint.com CNAME uaslpedu.sharepoint.com CNAME 5528-ipv4v6e.clump.dprodmgd105.aa-rt.sharepoint.com CNAME 192499-ipv4v6e.farm.dprodmgd105.aa-rt.sharepoint.com CNAME 192499-ipv4v6e.farm.dprodmgd105.sharepointonline.com.akadns.net CNAME 192499-ipv4v6.farm.dprodmgd105.aa-rt.sharepoint.com.dual-spo-0005.spo-msedge.net CNAME dual-spo-0005.spo-msedge.net A 13.107.136.10 A 13.107.138.10","22.415913","9.9.9.9","10.10.10.116","DNS","408"
"71240","Standard query 0x3254 SRV _ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.sisad.local","22.607212","10.10.10.9","9.9.9.9","DNS","123"
"71266","Standard query response 0x3254 No such name SRV _ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.sisad.local SOA a.root-servers.net","22.618897","9.9.9.9","10.10.10.9","DNS","198"
"71325","Standard query 0xc412 SRV _ldap._tcp.dc._msdcs.sisad.local","22.627939","10.10.10.9","9.9.9.9","DNS","92"
"71329","Standard query 0xd5cb A default.exp-tas.com","22.628972","10.10.10.116","9.9.9.9","DNS","79"
"71334","Standard query 0xd5cb A default.exp-tas.com","22.630013","10.10.10.116","8.8.8.8","DNS","79"
"71339","Standard query 0xd5cb A default.exp-tas.com","22.630013","10.10.10.116","1.1.1.1","DNS","79"
"71347","Standard query 0xceb2 A dns.google","22.631801","10.10.10.116","8.8.8.8","DNS","70"
"71354","Standard query 0x7dc9 HTTPS dns.google","22.633182","10.10.10.116","8.8.8.8","DNS","70"
"71372","Standard query 0x9372 A dns.google","22.635304","10.10.10.116","8.8.8.8","DNS","70"
"71377","Standard query 0xd24e HTTPS dns.google","22.636176","10.10.10.116","8.8.8.8","DNS","70"
"71384","Standard query 0x884e A chrome.cloudflare-dns.com","22.637197","10.10.10.116","8.8.8.8","DNS","85"
"71388","Standard query 0xe7b3 A chrome.cloudflare-dns.com","22.637197","10.10.10.116","8.8.8.8","DNS","85"
"71406","Standard query response 0xc412 No such name SRV _ldap._tcp.dc._msdcs.sisad.local SOA a.root-servers.net","22.640645","9.9.9.9","10.10.10.9","DNS","167"
"71407","Standard query response 0xd5cb A default.exp-tas.com CNAME deault-exp-tas-com.e-0014.e-msedge.net CNAME e-0014.e-msedge.net A 13.107.5.93","22.640645","9.9.9.9","10.10.10.116","DNS","161"
"71424","Standard query response 0xd5cb A default.exp-tas.com CNAME deault-exp-tas-com.e-0014.e-msedge.net CNAME e-0014.e-msedge.net A 13.107.5.93","22.643202","8.8.8.8","10.10.10.116","DNS","161"
"71441","Standard query response 0xceb2 A dns.google A 8.8.8.8 A 8.8.4.4","22.645216","8.8.8.8","10.10.10.116","DNS","102"
"71484","Standard query response 0xd24e HTTPS dns.google SOA ns1.zdns.google","22.651047","8.8.8.8","10.10.10.116","DNS","146"
"71512","Standard query response 0xe7b3 A chrome.cloudflare-dns.com A 172.64.41.3 A 162.159.61.3","22.652861","8.8.8.8","10.10.10.116","DNS","117"
"71524","Standard query response 0x9372 A dns.google A 8.8.4.4 A 8.8.8.8","22.654068","8.8.8.8","10.10.10.116","DNS","102"
"71546","Standard query response 0x7dc9 HTTPS dns.google SOA ns1.zdns.google","22.656285","8.8.8.8","10.10.10.116","DNS","146"
"71658","Standard query 0xc412 SRV _ldap._tcp.dc._msdcs.sisad.local","22.667152","10.10.10.9","8.8.8.8","DNS","92"
"71660","Standard query 0x4c69 SRV _ldap._tcp.4391ced9-6c97-46c7-b1c7-b5acd3642000.domains._msdcs.sisad.local","22.667152","10.10.10.9","9.9.9.9","DNS","134"
"71738","Standard query response 0x4c69 No such name SRV _ldap._tcp.4391ced9-6c97-46c7-b1c7-b5acd3642000.domains._msdcs.sisad.local SOA a.root-servers.net","22.678759","9.9.9.9","10.10.10.9","DNS","209"
"71743","Standard query response 0x884e A chrome.cloudflare-dns.com A 162.159.61.3 A 172.64.41.3","22.678759","8.8.8.8","10.10.10.116","DNS","117"
"71904","Standard query response 0xc412 No such name SRV _ldap._tcp.dc._msdcs.sisad.local SOA a.root-servers.net","22.702905","8.8.8.8","10.10.10.9","DNS","167"
"71908","Standard query 0xb3cc A outlook.office.com","22.706663","10.10.10.9","9.9.9.9","DNS","78"
"71909","Standard query 0x34b7 HTTPS outlook.office.com","22.706663","10.10.10.9","9.9.9.9","DNS","78"
"71910","Standard query 0x4c69 SRV _ldap._tcp.4391ced9-6c97-46c7-b1c7-b5acd3642000.domains._msdcs.sisad.local","22.706663","10.10.10.9","8.8.8.8","DNS","134"
"71933","Standard query response 0xd5cb A default.exp-tas.com CNAME deault-exp-tas-com.e-0014.e-msedge.net CNAME e-0014.e-msedge.net A 13.107.5.93","22.714327","1.1.1.1","10.10.10.116","DNS","161"
"71936","Standard query response 0xb3cc A outlook.office.com CNAME substrate.office.com CNAME outlook.office365.com CNAME ooc-g2.tm-4.office.com CNAME outlook.ms-acdc.office.com CNAME SAT-efz.ms-acdc.office.com A 52.96.57.34 A 52.96.55.242 A 52.96.57.2 A 52.96.121.242","22.718080","9.9.9.9","10.10.10.9","DNS","276"
"71938","Standard query response 0x34b7 HTTPS outlook.office.com CNAME substrate.office.com CNAME outlook.office365.com CNAME ooc-g2.tm-4.office.com SOA ns1-34.azure-dns.com","22.718080","9.9.9.9","10.10.10.9","DNS","243"
"71939","Standard query 0x73ce A www.msn.com","22.722147","10.10.10.9","9.9.9.9","DNS","71"
"71943","Standard query 0x47df HTTPS www.msn.com","22.725997","10.10.10.9","9.9.9.9","DNS","71"
"71948","Standard query 0x0001 PTR 5.f.e.1.2.9.0.1.d.c.2.e.9.7.c.c.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa","22.731880","10.10.10.10","8.8.8.8","DNS","132"
"71949","Standard query response 0x73ce A www.msn.com CNAME www-msn-com.a-0003.a-msedge.net CNAME a-0003.a-msedge.net A 204.79.197.203","22.733838","9.9.9.9","10.10.10.9","DNS","146"
"71952","Standard query response 0x47df HTTPS www.msn.com CNAME www-msn-com.a-0003.a-msedge.net CNAME a-0003.a-msedge.net SOA ns1.a-msedge.net","22.738668","9.9.9.9","10.10.10.9","DNS","187"
"71957","Standard query response 0x4c69 No such name SRV _ldap._tcp.4391ced9-6c97-46c7-b1c7-b5acd3642000.domains._msdcs.sisad.local SOA a.root-servers.net","22.744312","8.8.8.8","10.10.10.9","DNS","209"
"71965","Standard query response 0x0001 No such name PTR 5.f.e.1.2.9.0.1.d.c.2.e.9.7.c.c.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa SOA b.ip6-servers.arpa","22.769834","8.8.8.8","10.10.10.10","DNS","196"
"72208","Standard query 0x5f9e A default.exp-tas.com","22.901749","10.10.10.116","9.9.9.9","DNS","79"
"72499","Standard query 0x896c A assets.msn.com","22.937534","10.10.10.9","9.9.9.9","DNS","74"
"72500","Standard query 0x5c02 HTTPS assets.msn.com","22.937534","10.10.10.9","9.9.9.9","DNS","74"
