"No.","Info","Time","Source","Destination","Protocol","Length"
"4002","Standard query 0x60e3 A ctldl.windowsupdate.com","2.074617","10.10.10.10","9.9.9.9","DNS","83"
"4012","Standard query response 0x60e3 A ctldl.windowsupdate.com CNAME wu-bg-shim.trafficmanager.net CNAME wu.azureedge.net CNAME wu.ec.azureedge.net CNAME bg.apr-52dd2-0503.edgecastdns.net CNAME hlb.apr-52dd2-0.edgecastdns.net CNAME cs11.wpc.v0cdn.net A 72.21.81.240","2.085431","9.9.9.9","10.10.10.10","DNS","292"
"5907","Standard query 0xc8fb A www.google.com","2.942767","10.10.10.128","9.9.9.9","DNS","74"
"5908","Standard query response 0xc8fb A www.google.com A 142.250.177.4","2.954115","9.9.9.9","10.10.10.128","DNS","90"
"5909","Standard query 0x8127 A www.google.com","2.954115","10.10.10.128","8.8.8.8","DNS","74"
"5945","Standard query 0x51bd A www.google.com","2.967170","10.10.10.128","1.1.1.1","DNS","74"
"5964","Standard query response 0x8127 A www.google.com A 192.178.52.164","2.969311","8.8.8.8","10.10.10.128","DNS","90"
"6105","Standard query response 0x51bd A www.google.com A 172.217.12.132","3.056414","1.1.1.1","10.10.10.128","DNS","90"
"6478","Standard query 0xef8f AAAA wT0SBj-dnsotls-ds.metric.gstatic.com","3.531891","10.10.10.128","8.8.8.8","DNS","96"
"6496","Standard query response 0xef8f AAAA wT0SBj-dnsotls-ds.metric.gstatic.com AAAA 2607:f8b0:4012:826::2003","3.571366","8.8.8.8","10.10.10.128","DNS","124"
"6815","Standard query 0xd2fa A dns.google","4.715855","10.10.10.37","9.9.9.9","DNS","70"
"6816","Standard query 0x3095 HTTPS dns.google","4.715855","10.10.10.37","9.9.9.9","DNS","70"
"6828","Standard query response 0x3095 HTTPS dns.google SOA ns1.zdns.google","4.727456","9.9.9.9","10.10.10.37","DNS","146"
"6829","Standard query response 0xd2fa A dns.google A 8.8.8.8 A 8.8.4.4","4.727456","9.9.9.9","10.10.10.37","DNS","102"
"6837","Standard query 0x1a87 A www.google.com","4.734396","10.10.10.128","1.1.1.1","DNS","74"
"6845","Standard query 0xa93d A connectivitycheck.gstatic.com","4.771907","10.10.10.128","1.1.1.1","DNS","89"
"6859","Standard query response 0x1a87 A www.google.com A 142.250.188.228","4.818461","1.1.1.1","10.10.10.128","DNS","90"
"6864","Standard query response 0xa93d A connectivitycheck.gstatic.com A 142.250.176.3","4.857752","1.1.1.1","10.10.10.128","DNS","105"
"7060","Standard query 0x83dd AAAA d2aS3o-dnsotls-ds.metric.gstatic.com","5.862875","10.10.10.128","1.1.1.1","DNS","96"
"7084","Standard query response 0x83dd AAAA d2aS3o-dnsotls-ds.metric.gstatic.com AAAA 2607:f8b0:4007:815::2003","5.975370","1.1.1.1","10.10.10.128","DNS","124"
"7177","Standard query 0x792b AAAA 7439Ab-dnsotls-ds.metric.gstatic.com","6.396668","10.10.10.128","9.9.9.9","DNS","96"
"7254","Standard query response 0x792b AAAA 7439Ab-dnsotls-ds.metric.gstatic.com AAAA 2607:f8b0:4012:809::2003","6.622272","9.9.9.9","10.10.10.128","DNS","124"
