"No.","Time","Source","Destination","Protocol","Length","Info"
"97","36.072432","fe80::fed1:5216:71f4:8753","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"98","36.353413","172.30.48.1","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"99","38.065716","172.30.48.1","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"100","38.066190","fe80::fed1:5216:71f4:8753","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"101","38.066358","fe80::fed1:5216:71f4:8753","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"102","38.066682","fe80::fed1:5216:71f4:8753","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"103","38.363200","172.30.48.1","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"104","40.074537","172.30.48.1","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"105","40.074965","fe80::fed1:5216:71f4:8753","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"106","40.075116","fe80::fed1:5216:71f4:8753","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"107","40.075443","fe80::fed1:5216:71f4:8753","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"108","40.373658","172.30.48.1","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"109","42.067350","172.30.48.1","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"110","42.067875","fe80::fed1:5216:71f4:8753","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"111","42.068076","fe80::fed1:5216:71f4:8753","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"112","42.068433","fe80::fed1:5216:71f4:8753","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"113","42.392338","172.30.48.1","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"114","44.061845","172.30.48.1","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"115","44.062340","fe80::fed1:5216:71f4:8753","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"116","44.062501","fe80::fed1:5216:71f4:8753","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"117","44.062760","fe80::fed1:5216:71f4:8753","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"118","44.396539","172.30.48.1","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"119","46.062221","172.30.48.1","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"120","46.062691","fe80::fed1:5216:71f4:8753","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"121","46.062861","fe80::fed1:5216:71f4:8753","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"122","46.063195","fe80::fed1:5216:71f4:8753","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"123","46.173082","172.30.48.1","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"124","46.173583","fe80::fed1:5216:71f4:8753","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"125","46.173763","fe80::fed1:5216:71f4:8753","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"126","46.174085","fe80::fed1:5216:71f4:8753","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"127","46.408277","172.30.48.1","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"128","48.423250","172.30.48.1","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"129","66.983367","172.30.48.1","239.255.255.250","SSDP","212","M-SEARCH * HTTP/1.1 "
"130","66.985835","172.30.48.1","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"131","67.984822","172.30.48.1","239.255.255.250","SSDP","212","M-SEARCH * HTTP/1.1 "
"132","68.000905","172.30.48.1","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"133","68.991379","172.30.48.1","239.255.255.250","SSDP","212","M-SEARCH * HTTP/1.1 "
"134","69.007181","172.30.48.1","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"135","69.978720","172.30.48.1","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"136","69.979053","fe80::fed1:5216:71f4:8753","ff02::fb","MDNS","102","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"137","69.979791","172.30.48.1","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"138","69.980013","fe80::fed1:5216:71f4:8753","ff02::fb","MDNS","102","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"139","70.001481","172.30.48.1","239.255.255.250","SSDP","212","M-SEARCH * HTTP/1.1 "
"140","70.017573","172.30.48.1","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"141","71.020156","172.30.48.1","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"142","71.020392","fe80::fed1:5216:71f4:8753","ff02::fb","MDNS","102","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"143","71.023747","172.30.48.1","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"144","71.024004","fe80::fed1:5216:71f4:8753","ff02::fb","MDNS","102","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"145","73.028240","172.30.48.1","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"146","73.028477","fe80::fed1:5216:71f4:8753","ff02::fb","MDNS","102","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"147","73.029094","172.30.48.1","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"148","73.029303","fe80::fed1:5216:71f4:8753","ff02::fb","MDNS","102","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"149","83.528050","172.30.48.1","172.30.63.255","UDP","86","57621  >  57621 Len=44"
