Protocol,Length
0.0,0.0011684518013631937
0.05555555555555555,0.06757546251217138
0.0,0.06757546251217138
0.0,0.4005842259006816
0.0,0.0011684518013631937
0.05555555555555555,0.4671859785783837
0.0,0.3339824732229796
0.0,0.20077896786757546
0.05555555555555555,0.1341772151898734
0.0,0.4005842259006816
0.0,0.0011684518013631937
0.05555555555555555,0.4005842259006816
0.0,0.1341772151898734
0.05555555555555555,0.5337877312560857
0.0,0.0011684518013631937
0.05555555555555555,0.2887049659201558
0.0,0.0011684518013631937
0.0,0.0011684518013631937
0.0,0.0011684518013631937
0.0,0.0011684518013631937
0.0,0.0011684518013631937
0.05555555555555555,0.017818889970788704
0.05555555555555555,0.037487828627069134
0.0,0.0011684518013631937
0.0,0.20077896786757546
0.05555555555555555,0.20077896786757546
0.0,0.0011684518013631937
0.0,0.20077896786757546
0.0,0.20077896786757546
0.0,0.20077896786757546
0.05555555555555555,0.20077896786757546
0.0,0.20077896786757546
0.0,0.20077896786757546
0.0,0.1661148977604674
0.05555555555555555,0.20077896786757546
0.0,0.0011684518013631937
0.0,0.0011684518013631937
0.0,0.20077896786757546
0.0,0.20077896786757546
0.0,0.20077896786757546
0.0,0.0011684518013631937
0.0,0.0011684518013631937
0.05555555555555555,0.20077896786757546
0.0,0.20077896786757546
0.0,0.0011684518013631937
0.0,0.20077896786757546
0.0,0.20077896786757546
0.0,0.0011684518013631937
0.05555555555555555,0.20077896786757546
0.05555555555555555,0.6003894839337878
0.0,0.2673807205452775
0.05555555555555555,0.3339824732229796
0.0,0.0011684518013631937
0.0,0.0011684518013631937
0.0,0.0011684518013631937
0.0,0.0011684518013631937
0.05555555555555555,0.6003894839337878
0.0,0.6003894839337878
0.05555555555555555,0.1341772151898734
0.0,0.6003894839337878
0.0,0.0011684518013631937
0.05555555555555555,0.20077896786757546
0.0,0.25024342745861733
0.05555555555555555,0.6003894839337878
0.0,0.0011684518013631937
0.0,0.0011684518013631937
0.0,0.5929892891918208
0.05555555555555555,0.6003894839337878
